sentence	pictos_ref_ids	sense_keys
suivez mon doigt avec les yeux sans bouger la tête s'il vous plaît	[[2474], [12264], [3298], [7064], [8477], [2876], [7813], [7167], [8476], [2673], [8195], [8195], [8195], [8195]]	[['see%2:39:00::', 'look%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'view%2:39:00::', 'observe%2:39:00::'], [], ['finger%1:08:00::'], [], [], ['eye%1:08:00::', 'oculus%1:08:00::', 'optic%1:08:00::'], [''], ['move%2:38:00::', 'displace%2:38:02::', 'move%2:38:01::'], [], ['caput%1:08:00::', 'head%1:08:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::']]
dites moi quand vous avez mal	[[9692], [], [22621], [2608], [9001], [30620]]	[['articulate%2:32:00::', 'enounce%2:32:00::', 'enunciate%2:32:01::', 'pronounce%2:32:01::', 'say%2:32:02::', 'sound_out%2:32:01::', 'say%2:32:00::', 'state%2:32:00::', 'tell%2:32:04::', 'express%2:32:00::', 'give_tongue_to%2:32:00::', 'utter%2:32:01::', 'verbalise%2:32:03::', 'verbalize%2:32:03::'], [], [], [], ['be%2:42:00::', 'exist%2:42:00::'], ['hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::', 'hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::']]
comment sont vos douleurs	[[22619], [5858], [12287], [2367]]	[[''], ['be%2:42:03::', 'be%2:42:06::'], [''], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::']]
la douleur est elle venue quelques heures après le choc	[[8476], [2367], [5858], [], [7079], [5374], [7129], [7818], [8476], []]	[[], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['about%4:02:00::', 'approximately%4:02:00::', 'around%4:02:03::', 'close_to%4:02:00::', 'just_about%4:02:00::', 'more_or_less%4:02:00::', 'or_so%4:02:00::', 'roughly%4:02:00::', 'some%4:02:00::', 'some%5:00:00:extraordinary:00', 'several%5:00:00:some:00', 'respective%5:00:00:individual:00', 'several%5:00:00:individual:00', 'various%5:00:00:individual:00'], ['60_minutes%1:28:00::', 'hour%1:28:00::', 'hr%1:28:00::'], [''], [], []]
vous êtes vous tordu le poignet	[[2608], [5858], [], [6604], [8476], [2904]]	[[], ['be%2:42:03::', 'be%2:42:06::'], [], ['break%2:30:10::', 'carve_up%2:41:00::', 'dissever%2:41:00::', 'divide%2:41:00::', 'separate%2:41:01::', 'split%2:41:03::', 'split_up%2:41:02::', 'bust%2:35:02::', 'rupture%2:35:00::', 'snap%2:35:01::', 'tear%2:35:00::'], [], ['articulatio_radiocarpea%1:08:00::', 'carpus%1:08:00::', 'radiocarpal_joint%1:08:00::', 'wrist%1:08:00::', 'wrist_joint%1:08:00::']]
est ce que la peau est chaude quand vous touchez	[[], [], [], [8476], [2840], [5858], [2300], [22621], [2608], [3293]]	[[], [], [], [], ['cutis%1:08:00::', 'skin%1:08:00::', 'tegument%1:08:00::'], ['be%2:42:03::', 'be%2:42:06::'], ['hot%3:00:01::'], [], [], ['adjoin%2:35:03::', 'contact%2:35:03::', 'meet%2:35:00::', 'touch%2:35:01::', 'touch%2:35:00::', 'touch%2:39:00::', 'touch%2:35:04::']]
avez vous été mordu par un chien	[[9001], [2608], [5858], [4700], [7212], [8474], [2517]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['be%2:42:03::', 'be%2:42:06::'], ['bite%2:35:00::', 'seize_with_teeth%2:35:00::'], [], [], ['canis_familiaris%1:05:00::', 'dog%1:05:00::', 'domestic_dog%1:05:00::']]
pouvez vous marcher normalement	[[11750], [2608], [2432], [5584]]	[[''], [], ['go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::'], ['yes%1:10:00::']]
mettez vos bras le long du corps s'il vous plaît	[[7167], [12287], [2669], [], [5367], [11712], [2728], [8195], [8195], [8195], [8195]]	[['move%2:38:00::', 'displace%2:38:02::', 'move%2:38:01::'], [''], ['arm%1:08:00::'], [], ['both%5:00:00:some:00', 'together%4:02:02::', 'joint%3:00:00::', 'close%3:00:05::', 'near%3:00:00::', 'nigh%3:00:00::'], [], ['body%1:08:01::', 'torso%1:08:00::', 'trunk%1:08:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::']]
serrez moi les mains s'il vous plaît	[[4740], [4740], [4740], [4740], [8195], [8195], [8195], [8195]]	[['handclasp%1:10:00::', 'handshake%1:10:00::', 'handshaking%1:10:00::', 'shake%1:10:00::', 'greeting%1:10:00::', 'salutation%1:10:00::'], ['handclasp%1:10:00::', 'handshake%1:10:00::', 'handshaking%1:10:00::', 'shake%1:10:00::', 'greeting%1:10:00::', 'salutation%1:10:00::'], ['handclasp%1:10:00::', 'handshake%1:10:00::', 'handshaking%1:10:00::', 'shake%1:10:00::', 'greeting%1:10:00::', 'salutation%1:10:00::'], ['handclasp%1:10:00::', 'handshake%1:10:00::', 'handshaking%1:10:00::', 'shake%1:10:00::', 'greeting%1:10:00::', 'salutation%1:10:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::']]
avez vous eu un accident de moto	[[9001], [2608], [], [8474], [4551], [7074], [2480]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], [], ['accident%1:11:01::', 'crash%1:11:00::', 'wreck%1:11:00::', 'crash%2:35:02::', 'smash%2:38:02::'], [], ['bike%1:06:02::', 'motorcycle%1:06:00::', 'minibike%1:06:00::', 'motorbike%1:06:00::']]
montrez moi dans quel sens votre cheville s'est tordue	[[11308], [], [7034], [22620], [], [12285], [3405], [], [5858], [6604]]	[['demo%2:39:00::', 'demonstrate%2:39:01::', 'exhibit%2:39:00::', 'present%2:39:00::', 'show%2:39:02::', 'show%2:39:00::'], [], [], [], [], [''], ['ankle%1:08:00::', 'ankle_joint%1:08:00::', 'articulatio_talocruralis%1:08:00::', 'mortise_joint%1:08:00::'], [], ['be%2:42:03::', 'be%2:42:06::'], ['break%2:30:10::', 'carve_up%2:41:00::', 'dissever%2:41:00::', 'divide%2:41:00::', 'separate%2:41:01::', 'split%2:41:03::', 'split_up%2:41:02::', 'bust%2:35:02::', 'rupture%2:35:00::', 'snap%2:35:01::', 'tear%2:35:00::']]
vous allez être hospitalisé	[[2608], [7079], [33910], [33910]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['come_in%2:38:02::', 'enter%2:38:00::', 'get_in%2:38:01::', 'get_into%2:38:00::', 'go_in%2:38:00::', 'go_into%2:38:00::', 'move_into%2:38:00::', 'accommodate%2:42:03::', 'admit%2:42:04::', 'hold%2:42:05::', 'hospitalise%2:40:00::', 'hospitalize%2:40:00::'], ['come_in%2:38:02::', 'enter%2:38:00::', 'get_in%2:38:01::', 'get_into%2:38:00::', 'go_in%2:38:00::', 'go_into%2:38:00::', 'move_into%2:38:00::', 'accommodate%2:42:03::', 'admit%2:42:04::', 'hold%2:42:05::', 'hospitalise%2:40:00::', 'hospitalize%2:40:00::']]
vous allez pouvoir rentrer à la maison	[[2608], [7079], [11750], [29714], [], [], []]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [''], ['return%2:38:00::'], [], [], []]
vous avez une infection de la gorge	[[2608], [9001], [8474], [5484], [7074], [8476], [3332]]	[[], ['be%2:42:00::', 'exist%2:42:00::'], [], ['harm%1:26:00::', 'hurt%1:26:00::', 'injury%1:26:00::', 'trauma%1:26:02::', 'cut%1:26:00::', 'gash%1:26:00::', 'slash%1:26:00::', 'slice%1:26:00::'], [], [], ['pharynx%1:08:00::', 'throat%1:08:00::']]
vous devez mettre les gouttes le matin	[[2608], [15525], [29828], [29828], [29828], [8476], [25704]]	[[], ['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], ['dribble%2:35:10::', 'drip%2:35:10::', 'drop%2:35:12::', 'dropper%1:06:00::', 'eye_dropper%1:06:00::', 'lay%2:35:01::', 'place%2:35:00::', 'pose%2:35:02::', 'position%2:35:00::', 'put%2:35:00::', 'set%2:35:00::'], ['dribble%2:35:10::', 'drip%2:35:10::', 'drop%2:35:12::', 'dropper%1:06:00::', 'eye_dropper%1:06:00::', 'lay%2:35:01::', 'place%2:35:00::', 'pose%2:35:02::', 'position%2:35:00::', 'put%2:35:00::', 'set%2:35:00::'], ['dribble%2:35:10::', 'drip%2:35:10::', 'drop%2:35:12::', 'dropper%1:06:00::', 'eye_dropper%1:06:00::', 'lay%2:35:01::', 'place%2:35:00::', 'pose%2:35:02::', 'position%2:35:00::', 'put%2:35:00::', 'set%2:35:00::'], [], ['forenoon%1:28:00::', 'morn%1:28:00::', 'morning%1:28:00::', 'morning_time%1:28:00::', 'aurora%1:28:00::', 'break_of_day%1:28:00::', 'break_of_the_day%1:28:00::', 'cockcrow%1:28:00::', 'dawn%1:28:00::', 'dawning%1:28:00::', 'daybreak%1:28:00::', 'dayspring%1:28:00::', 'first_light%1:28:00::', 'morning%1:28:01::', 'sunrise%1:28:00::', 'sunup%1:28:00::']]
avez vous bu de l'alcool	[[9001], [2608], [2276], [7074], [8476], [26626]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['drink%2:34:00::', 'imbibe%2:34:00::'], [], [], ['alcohol%1:13:00::', 'alcoholic_beverage%1:13:00::', 'alcoholic_drink%1:13:00::', 'inebriant%1:13:00::', 'intoxicant%1:13:00::']]
fumez vous régulièrement	[[7111], [2608], [37029]]	[['smoke%2:34:00::'], [], ['frequently%4:02:00::', 'oft%4:02:00::', 'often%4:02:00::', 'oftentimes%4:02:00::', 'ofttimes%4:02:00::']]
combien de cigarettes fumez vous par jour	[[7073], [7074], [4601], [7111], [2608], [7212], [7022]]	[['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['butt%1:06:04::', 'cigaret%1:06:00::', 'cigarette%1:06:00::', 'coffin_nail%1:06:00::', 'fag%1:06:00::'], ['smoke%2:34:00::'], [], [], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::']]
à quel âge avez vous commencé à fumer	[[], [], [7072], [9001], [2608], [5431], [7041], [7111]]	[[], [], ['age%1:28:00::', 'eld%1:28:01::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], ['be%2:42:00::', 'exist%2:42:00::'], [], ['begin%2:30:00::', 'commence%2:30:00::', 'get%2:30:12::', 'get_down%2:30:00::', 'set_about%2:30:00::', 'set_out%2:30:00::', 'start%2:30:00::', 'start_out%2:30:00::', 'begin%2:42:00::', 'start%2:42:00::', 'scratch%1:15:00::', 'scratch_line%1:15:00::', 'start%1:15:00::', 'starting_line%1:15:00::', 'start%1:11:00::'], [], ['smoke%2:34:00::']]
avez vous arrêté de fumer	[[9001], [2608], [7196], [7074], [7111]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['stop%2:38:01::', 'intercept%2:35:00::', 'stop%2:35:00::'], [], ['smoke%2:34:00::']]
il ne faut pas vous opérer	[[], [], [15525], [5526], [2608], [5530]]	[[], [], ['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], ['no%1:10:00::', 'no%4:02:00::', 'no%4:02:01::'], [], ['operate%2:29:00::', 'operate_on%2:29:00::']]
avez vous pensé à arrêter de boire	[[9001], [2608], [8661], [7041], [7196], [7074], [2276]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['cerebrate%2:31:00::', 'cogitate%2:31:00::', 'think%2:31:00::', 'think%2:36:00::', 'intend%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::'], [], ['stop%2:38:01::', 'intercept%2:35:00::', 'stop%2:35:00::'], [], ['drink%2:34:00::', 'imbibe%2:34:00::']]
vous a t on déjà dit que vous buviez trop	[[2608], [9001], [], [], [37162], [9692], [11351], [2608], [2276], [25708]]	[[], ['be%2:42:00::', 'exist%2:42:00::'], [], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], ['articulate%2:32:00::', 'enounce%2:32:00::', 'enunciate%2:32:01::', 'pronounce%2:32:01::', 'say%2:32:02::', 'sound_out%2:32:01::', 'say%2:32:00::', 'state%2:32:00::', 'tell%2:32:04::', 'express%2:32:00::', 'give_tongue_to%2:32:00::', 'utter%2:32:01::', 'verbalise%2:32:03::', 'verbalize%2:32:03::'], [''], [], ['drink%2:34:00::', 'imbibe%2:34:00::'], ['rattling%4:02:00::', 'real%4:02:01::', 'really%4:02:00::', 'very%4:02:00::']]
combien de verres d'alcool buvez vous par jour	[[7073], [7074], [2356], [7074], [26626], [2276], [2608], [7212], [7022]]	[['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['drinking_glass%1:06:00::', 'glass%1:06:00::'], [], ['alcohol%1:13:00::', 'alcoholic_beverage%1:13:00::', 'alcoholic_drink%1:13:00::', 'inebriant%1:13:00::', 'intoxicant%1:13:00::'], ['drink%2:34:00::', 'imbibe%2:34:00::'], [], [], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::']]
consommez vous d'autres drogues	[[8095], [2608], [7074], [17056], [30971]]	[['do_drugs%2:34:00::', 'drug%2:34:00::', 'drug_addiction%1:26:00::', 'white_plague%1:26:01::', 'drug_abuse%1:04:00::', 'habit%1:04:01::', 'substance_abuse%1:04:00::', 'habituate%2:34:00::', 'use%2:34:02::'], [], [], ['other%3:00:00::', 'another%5:00:00:other:00', 'some_other%5:00:00:other:00'], ['drug%1:06:00::', 'drug_abuse%1:04:00::', 'habit%1:04:01::', 'substance_abuse%1:04:00::', 'drug_addiction%1:26:00::', 'white_plague%1:26:01::']]
votre consommation d'alcool a t elle augmenté	[[12285], [4606], [7074], [26626], [9001], [], [], [19572]]	[[''], ['grapple%2:35:01::', 'grip%2:35:03::', 'grip%2:35:00::', 'hold%2:35:00::', 'take_hold%2:35:00::'], [], ['alcohol%1:13:00::', 'alcoholic_beverage%1:13:00::', 'alcoholic_drink%1:13:00::', 'inebriant%1:13:00::', 'intoxicant%1:13:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], [], ['advance%1:04:01::', 'rise%1:04:01::', 'rise%1:11:00::', 'boost%1:07:00::', 'cost_increase%1:07:00::', 'hike%1:07:01::', 'rise%1:07:03::', 'climb%2:30:01::', 'go_up%2:30:00::', 'rise%2:30:00::']]
depuis combien d'années fumez vous	[[7077], [7073], [7074], [6903], [7111], [2608]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['twelvemonth%1:28:00::', 'year%1:28:01::', 'yr%1:28:00::'], ['smoke%2:34:00::'], []]
utilisez vous des seringues usagées	[[8095], [2608], [8477], [31732], []]	[['do_drugs%2:34:00::', 'drug%2:34:00::', 'drug_addiction%1:26:00::', 'white_plague%1:26:01::', 'drug_abuse%1:04:00::', 'habit%1:04:01::', 'substance_abuse%1:04:00::', 'habituate%2:34:00::', 'use%2:34:02::'], [], [], ['syringe%1:06:00::'], []]
avez vous pris d'autres produits durant les trente derniers jours	[[9001], [2608], [15485], [7074], [17056], [], [7081], [8477], [29298], [27319], [7022]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['apply%2:34:00::', 'employ%2:34:00::', 'use%2:34:01::', 'utilise%2:34:00::', 'utilize%2:34:00::'], [], ['other%3:00:00::', 'another%5:00:00:other:00', 'some_other%5:00:00:other:00'], [], ['patch%1:28:00::', 'piece%1:28:00::', 'spell%1:28:01::', 'while%1:28:00::'], [], ['number%1:23:00::', 'number%1:10:01::', 'numeral%1:10:00::', '30%1:23:00::', 'thirty%1:23:00::', 'xxx%1:23:00::', '30%5:00:00:cardinal:00', 'thirty%5:00:00:cardinal:00', 'xxx%5:00:00:cardinal:00'], ['old%5:00:00:preceding:00', 'previous%5:00:00:preceding:00', 'come_before%2:41:00::', 'precede%2:41:00::'], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::']]
avez vous pris de l'héroïne ces dernières vingt quatre heures	[[9001], [2608], [8095], [7074], [8476], [30971], [7092], [27319], [29286], [29286], [7129]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['do_drugs%2:34:00::', 'drug%2:34:00::', 'drug_addiction%1:26:00::', 'white_plague%1:26:01::', 'drug_abuse%1:04:00::', 'habit%1:04:01::', 'substance_abuse%1:04:00::', 'habituate%2:34:00::', 'use%2:34:02::'], [], [], ['drug%1:06:00::', 'drug_abuse%1:04:00::', 'habit%1:04:01::', 'substance_abuse%1:04:00::', 'drug_addiction%1:26:00::', 'white_plague%1:26:01::'], [''], ['old%5:00:00:preceding:00', 'previous%5:00:00:preceding:00', 'come_before%2:41:00::', 'precede%2:41:00::'], ['number%1:23:00::', 'number%1:10:01::', 'numeral%1:10:00::', '24%1:23:00::', 'twenty-four%1:23:00::', 'two_dozen%1:23:00::', 'xxiv%1:23:00::', '24%5:00:00:cardinal:00', 'twenty-four%5:00:00:cardinal:00', 'xxiv%5:00:00:cardinal:00'], ['number%1:23:00::', 'number%1:10:01::', 'numeral%1:10:00::', '24%1:23:00::', 'twenty-four%1:23:00::', 'two_dozen%1:23:00::', 'xxiv%1:23:00::', '24%5:00:00:cardinal:00', 'twenty-four%5:00:00:cardinal:00', 'xxiv%5:00:00:cardinal:00'], ['60_minutes%1:28:00::', 'hour%1:28:00::', 'hr%1:28:00::']]
avez vous déjà fumé du tabac	[[9001], [2608], [37162], [7111], [11712], [5101]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], ['smoke%2:34:00::'], [], ['baccy%1:06:00::', 'tobacco%1:06:00::', 'butt%1:06:04::', 'cigaret%1:06:00::', 'cigarette%1:06:00::', 'coffin_nail%1:06:00::', 'fag%1:06:00::', 'pack%1:06:00::']]
nous allons vous mesurer	[[7185], [7079], [2608], [33100]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], ['measure%2:31:00::', 'measure_out%2:31:00::', 'mensurate%2:31:00::']]
nous allons faire une prise de sang	[[7185], [7079], [], [8474], [5901], [5901], [5901]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], [], ['extraction%1:22:00::', 'analysis%1:04:00::', 'blood_test%1:09:00::'], ['extraction%1:22:00::', 'analysis%1:04:00::', 'blood_test%1:09:00::'], ['extraction%1:22:00::', 'analysis%1:04:00::', 'blood_test%1:09:00::']]
vous devez vous hydrater en suffisance	[[2608], [15525], [], [37207], [], [5521]]	[[], ['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], [], ['hydrate%2:30:03::'], [], ['a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::', 'much%4:02:00::', 'a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::']]
vous devez attendre en salle d'attente	[[2608], [15525], [8109], [11709], [27473], [27473], [27473]]	[[], ['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], ['wait%2:42:00::'], [], ['lounge%1:06:00::', 'waiting_area%1:06:00::', 'waiting_room%1:06:00::'], ['lounge%1:06:00::', 'waiting_area%1:06:00::', 'waiting_room%1:06:00::'], ['lounge%1:06:00::', 'waiting_area%1:06:00::', 'waiting_room%1:06:00::']]
l'infirmière va venir vous voir	[[8476], [2375], [7079], [11708], [2608], [2474]]	[[], ['nurse%1:18:00::', 'np%1:18:00::', 'nurse_clinician%1:18:00::', 'nurse_practitioner%1:18:00::'], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['come%2:38:00::', 'come_up%2:38:02::', 'arrive%2:38:00::', 'come%2:38:04::', 'get%2:38:00::'], [], ['see%2:39:00::', 'look%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'view%2:39:00::', 'observe%2:39:00::']]
vous ne pouvez pas boire pas manger ni fumer	[[2608], [], [11750], [5526], [2276], [5526], [2349], [5526], [7111]]	[[], [], [''], ['no%1:10:00::', 'no%4:02:00::', 'no%4:02:01::'], ['drink%2:34:00::', 'imbibe%2:34:00::'], ['no%1:10:00::', 'no%4:02:00::', 'no%4:02:01::'], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], ['no%1:10:00::', 'no%4:02:00::', 'no%4:02:01::'], ['smoke%2:34:00::']]
vous devez éviter les produits laitiers	[[2608], [15525], [5526], [8477], [31815], [31815]]	[[], ['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], ['no%1:10:00::', 'no%4:02:00::', 'no%4:02:01::'], [], ['dairy_product%1:13:00::'], ['dairy_product%1:13:00::']]
nous allons écouter votre coeur	[[7185], [7079], [2381], [12285], [2715]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['hear%2:39:05::', 'listen%2:39:01::', 'take_heed%2:39:00::', 'hear%2:39:00::'], [''], ['heart%1:08:00::', 'pump%1:08:00::', 'ticker%1:08:00::']]
